Iteration,Algorithm,Dataset,ThresholdSim,Training%,NumAddedEdges,NumRemovedEdges,Accuracy
4,SAGEConv,Pubmed,0.0,0.005,0,0,0.763
3,SAGEConv,Pubmed,0.0,0.005,0,0,0.758
2,SAGEConv,Pubmed,0.0,0.005,0,0,0.76
1,SAGEConv,Pubmed,0.0,0.005,0,0,0.756
0,SAGEConv,Pubmed,0.0,0.005,0,0,0.76
4,SAGEConv,Pubmed,0.0,0.01,0,0,0.765
3,SAGEConv,Pubmed,0.0,0.01,0,0,0.766
2,SAGEConv,Pubmed,0.0,0.01,0,0,0.766
1,SAGEConv,Pubmed,0.0,0.01,0,0,0.767
0,SAGEConv,Pubmed,0.0,0.01,0,0,0.764
4,SAGEConv,Pubmed,0.0,0.015,0,0,0.789
3,SAGEConv,Pubmed,0.0,0.015,0,0,0.788
2,SAGEConv,Pubmed,0.0,0.015,0,0,0.787
1,SAGEConv,Pubmed,0.0,0.015,0,0,0.786
0,SAGEConv,Pubmed,0.0,0.015,0,0,0.787
4,SAGEConv,Pubmed,0.0,0.02,0,0,0.8
3,SAGEConv,Pubmed,0.0,0.02,0,0,0.8
2,SAGEConv,Pubmed,0.0,0.02,0,0,0.804
1,SAGEConv,Pubmed,0.0,0.02,0,0,0.801
0,SAGEConv,Pubmed,0.0,0.02,0,0,0.799
4,SAGEConv,Pubmed,0.0,0.025,0,0,0.799
3,SAGEConv,Pubmed,0.0,0.025,0,0,0.797
2,SAGEConv,Pubmed,0.0,0.025,0,0,0.801
1,SAGEConv,Pubmed,0.0,0.025,0,0,0.798
0,SAGEConv,Pubmed,0.0,0.025,0,0,0.797
4,SAGEConv,Pubmed,0.5,0.005,61591,61591,0.734
3,SAGEConv,Pubmed,0.5,0.005,61591,61591,0.728
2,SAGEConv,Pubmed,0.5,0.005,61591,61591,0.725
1,SAGEConv,Pubmed,0.5,0.005,61591,61591,0.723
0,SAGEConv,Pubmed,0.5,0.005,61591,61591,0.724
4,SAGEConv,Pubmed,0.5,0.01,61591,61591,0.789
3,SAGEConv,Pubmed,0.5,0.01,61591,61591,0.782
2,SAGEConv,Pubmed,0.5,0.01,61591,61591,0.786
1,SAGEConv,Pubmed,0.5,0.01,61591,61591,0.785
0,SAGEConv,Pubmed,0.5,0.01,61591,61591,0.785
4,SAGEConv,Pubmed,0.5,0.015,61591,61591,0.785
3,SAGEConv,Pubmed,0.5,0.015,61591,61591,0.783
2,SAGEConv,Pubmed,0.5,0.015,61591,61591,0.782
1,SAGEConv,Pubmed,0.5,0.015,61591,61591,0.78
0,SAGEConv,Pubmed,0.5,0.015,61591,61591,0.779
4,SAGEConv,Pubmed,0.5,0.02,61591,61591,0.792
3,SAGEConv,Pubmed,0.5,0.02,61591,61591,0.789
2,SAGEConv,Pubmed,0.5,0.02,61591,61591,0.788
1,SAGEConv,Pubmed,0.5,0.02,61591,61591,0.79
0,SAGEConv,Pubmed,0.5,0.02,61591,61591,0.789
4,SAGEConv,Pubmed,0.5,0.025,61591,61591,0.794
3,SAGEConv,Pubmed,0.5,0.025,61591,61591,0.795
2,SAGEConv,Pubmed,0.5,0.025,61591,61591,0.793
1,SAGEConv,Pubmed,0.5,0.025,61591,61591,0.795
0,SAGEConv,Pubmed,0.5,0.025,61591,61591,0.792
4,SAGEConv,Pubmed,0.6,0.005,31460,31460,0.759
3,SAGEConv,Pubmed,0.6,0.005,31460,31460,0.755
2,SAGEConv,Pubmed,0.6,0.005,31460,31460,0.759
1,SAGEConv,Pubmed,0.6,0.005,31460,31460,0.757
0,SAGEConv,Pubmed,0.6,0.005,31460,31460,0.752
4,SAGEConv,Pubmed,0.6,0.01,31460,31460,0.773
3,SAGEConv,Pubmed,0.6,0.01,31460,31460,0.773
2,SAGEConv,Pubmed,0.6,0.01,31460,31460,0.773
1,SAGEConv,Pubmed,0.6,0.01,31460,31460,0.772
0,SAGEConv,Pubmed,0.6,0.01,31460,31460,0.773
4,SAGEConv,Pubmed,0.6,0.015,31460,31460,0.782
3,SAGEConv,Pubmed,0.6,0.015,31460,31460,0.782
2,SAGEConv,Pubmed,0.6,0.015,31460,31460,0.784
1,SAGEConv,Pubmed,0.6,0.015,31460,31460,0.782
0,SAGEConv,Pubmed,0.6,0.015,31460,31460,0.782
4,SAGEConv,Pubmed,0.6,0.02,31460,31460,0.785
3,SAGEConv,Pubmed,0.6,0.02,31460,31460,0.785
2,SAGEConv,Pubmed,0.6,0.02,31460,31460,0.784
1,SAGEConv,Pubmed,0.6,0.02,31460,31460,0.781
0,SAGEConv,Pubmed,0.6,0.02,31460,31460,0.781
4,SAGEConv,Pubmed,0.6,0.025,31460,31460,0.801
3,SAGEConv,Pubmed,0.6,0.025,31460,31460,0.8
2,SAGEConv,Pubmed,0.6,0.025,31460,31460,0.8
1,SAGEConv,Pubmed,0.6,0.025,31460,31460,0.798
0,SAGEConv,Pubmed,0.6,0.025,31460,31460,0.804
4,SAGEConv,Pubmed,0.7,0.005,10086,10086,0.725
3,SAGEConv,Pubmed,0.7,0.005,10086,10086,0.733
2,SAGEConv,Pubmed,0.7,0.005,10086,10086,0.729
1,SAGEConv,Pubmed,0.7,0.005,10086,10086,0.727
0,SAGEConv,Pubmed,0.7,0.005,10086,10086,0.727
4,SAGEConv,Pubmed,0.7,0.01,10086,10086,0.757
3,SAGEConv,Pubmed,0.7,0.01,10086,10086,0.762
2,SAGEConv,Pubmed,0.7,0.01,10086,10086,0.758
1,SAGEConv,Pubmed,0.7,0.01,10086,10086,0.764
0,SAGEConv,Pubmed,0.7,0.01,10086,10086,0.763
4,SAGEConv,Pubmed,0.7,0.015,10086,10086,0.785
3,SAGEConv,Pubmed,0.7,0.015,10086,10086,0.789
2,SAGEConv,Pubmed,0.7,0.015,10086,10086,0.786
1,SAGEConv,Pubmed,0.7,0.015,10086,10086,0.786
0,SAGEConv,Pubmed,0.7,0.015,10086,10086,0.784
4,SAGEConv,Pubmed,0.7,0.02,10086,10086,0.791
3,SAGEConv,Pubmed,0.7,0.02,10086,10086,0.796
2,SAGEConv,Pubmed,0.7,0.02,10086,10086,0.791
1,SAGEConv,Pubmed,0.7,0.02,10086,10086,0.795
0,SAGEConv,Pubmed,0.7,0.02,10086,10086,0.793
4,SAGEConv,Pubmed,0.7,0.025,10086,10086,0.784
3,SAGEConv,Pubmed,0.7,0.025,10086,10086,0.785
2,SAGEConv,Pubmed,0.7,0.025,10086,10086,0.783
1,SAGEConv,Pubmed,0.7,0.025,10086,10086,0.787
0,SAGEConv,Pubmed,0.7,0.025,10086,10086,0.787
4,SAGEConv,Pubmed,0.8,0.005,1669,1669,0.735
3,SAGEConv,Pubmed,0.8,0.005,1669,1669,0.732
2,SAGEConv,Pubmed,0.8,0.005,1669,1669,0.731
1,SAGEConv,Pubmed,0.8,0.005,1669,1669,0.734
0,SAGEConv,Pubmed,0.8,0.005,1669,1669,0.741
4,SAGEConv,Pubmed,0.8,0.01,1669,1669,0.776
3,SAGEConv,Pubmed,0.8,0.01,1669,1669,0.78
2,SAGEConv,Pubmed,0.8,0.01,1669,1669,0.776
1,SAGEConv,Pubmed,0.8,0.01,1669,1669,0.776
0,SAGEConv,Pubmed,0.8,0.01,1669,1669,0.778
4,SAGEConv,Pubmed,0.8,0.015,1669,1669,0.787
3,SAGEConv,Pubmed,0.8,0.015,1669,1669,0.785
2,SAGEConv,Pubmed,0.8,0.015,1669,1669,0.788
1,SAGEConv,Pubmed,0.8,0.015,1669,1669,0.785
0,SAGEConv,Pubmed,0.8,0.015,1669,1669,0.785
4,SAGEConv,Pubmed,0.8,0.02,1669,1669,0.772
3,SAGEConv,Pubmed,0.8,0.02,1669,1669,0.775
2,SAGEConv,Pubmed,0.8,0.02,1669,1669,0.77
1,SAGEConv,Pubmed,0.8,0.02,1669,1669,0.771
0,SAGEConv,Pubmed,0.8,0.02,1669,1669,0.772
4,SAGEConv,Pubmed,0.8,0.025,1669,1669,0.791
3,SAGEConv,Pubmed,0.8,0.025,1669,1669,0.785
2,SAGEConv,Pubmed,0.8,0.025,1669,1669,0.79
1,SAGEConv,Pubmed,0.8,0.025,1669,1669,0.791
0,SAGEConv,Pubmed,0.8,0.025,1669,1669,0.789
4,SAGEConv,Pubmed,0.9,0.005,165,165,0.74
3,SAGEConv,Pubmed,0.9,0.005,165,165,0.737
2,SAGEConv,Pubmed,0.9,0.005,165,165,0.739
1,SAGEConv,Pubmed,0.9,0.005,165,165,0.736
0,SAGEConv,Pubmed,0.9,0.005,165,165,0.738
4,SAGEConv,Pubmed,0.9,0.01,165,165,0.776
3,SAGEConv,Pubmed,0.9,0.01,165,165,0.772
2,SAGEConv,Pubmed,0.9,0.01,165,165,0.775
1,SAGEConv,Pubmed,0.9,0.01,165,165,0.775
0,SAGEConv,Pubmed,0.9,0.01,165,165,0.773
4,SAGEConv,Pubmed,0.9,0.015,165,165,0.788
3,SAGEConv,Pubmed,0.9,0.015,165,165,0.792
2,SAGEConv,Pubmed,0.9,0.015,165,165,0.785
1,SAGEConv,Pubmed,0.9,0.015,165,165,0.787
0,SAGEConv,Pubmed,0.9,0.015,165,165,0.787
4,SAGEConv,Pubmed,0.9,0.02,165,165,0.79
3,SAGEConv,Pubmed,0.9,0.02,165,165,0.794
2,SAGEConv,Pubmed,0.9,0.02,165,165,0.792
1,SAGEConv,Pubmed,0.9,0.02,165,165,0.794
0,SAGEConv,Pubmed,0.9,0.02,165,165,0.792
4,SAGEConv,Pubmed,0.9,0.025,165,165,0.8
3,SAGEConv,Pubmed,0.9,0.025,165,165,0.801
2,SAGEConv,Pubmed,0.9,0.025,165,165,0.802
1,SAGEConv,Pubmed,0.9,0.025,165,165,0.8
0,SAGEConv,Pubmed,0.9,0.025,165,165,0.802
4,SAGEConv,Pubmed,0.0,0.005,0,0,0.753
3,SAGEConv,Pubmed,0.0,0.005,0,0,0.755
2,SAGEConv,Pubmed,0.0,0.005,0,0,0.757
1,SAGEConv,Pubmed,0.0,0.005,0,0,0.751
0,SAGEConv,Pubmed,0.0,0.005,0,0,0.76
4,SAGEConv,Pubmed,0.0,0.01,0,0,0.764
3,SAGEConv,Pubmed,0.0,0.01,0,0,0.767
2,SAGEConv,Pubmed,0.0,0.01,0,0,0.766
1,SAGEConv,Pubmed,0.0,0.01,0,0,0.766
0,SAGEConv,Pubmed,0.0,0.01,0,0,0.764
4,SAGEConv,Pubmed,0.0,0.015,0,0,0.787
3,SAGEConv,Pubmed,0.0,0.015,0,0,0.789
2,SAGEConv,Pubmed,0.0,0.015,0,0,0.79
1,SAGEConv,Pubmed,0.0,0.015,0,0,0.791
0,SAGEConv,Pubmed,0.0,0.015,0,0,0.792
4,SAGEConv,Pubmed,0.0,0.02,0,0,0.793
3,SAGEConv,Pubmed,0.0,0.02,0,0,0.794
2,SAGEConv,Pubmed,0.0,0.02,0,0,0.794
1,SAGEConv,Pubmed,0.0,0.02,0,0,0.795
0,SAGEConv,Pubmed,0.0,0.02,0,0,0.795
4,SAGEConv,Pubmed,0.0,0.025,0,0,0.804
3,SAGEConv,Pubmed,0.0,0.025,0,0,0.803
2,SAGEConv,Pubmed,0.0,0.025,0,0,0.803
1,SAGEConv,Pubmed,0.0,0.025,0,0,0.804
0,SAGEConv,Pubmed,0.0,0.025,0,0,0.804
